PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	Dosing Guideline	External Vocabulary
PA10066	duloxetine	(+-)-duloxetine,Duloxetine HCl,Duloxetine Hydrochloride	Cymbalta,Yentreve		Drug/Small Molecule	DailyMed:81a06b90-50d3-40c1-98ca-0e344c76b2c4,TTD:DAP000494,chebi:36795,chemSpider:54822,clinicalTrials:NCT00817011,clinicalTrials:NCT01404871,drugBank:DB00476,iupharLigand:202,keggDrug:D01179,ndc:54868-5215-2,pubChemCompound:60835,pubChemSubstance:46507937,pubChemSubstance:704934,url:http://en.wikipedia.org/wiki/Duloxetine	CNCC[C@@H](c1cccs1)Oc2cccc3c2cccc3	Yes	ATC:N06AX(Other antidepressants),MeSH:C058218(duloxetine),NDFRT:N0000148860(DULOXETINE),RxNorm:72625(duloxetine),UMLS:C0245561(duloxetine)
PA10068	electrolytes				Drug/Small Molecule			No	ATC:B05BB(Solutions affecting the electrolyte balance),NDFRT:N0000020495(ELECTROLYTES),UMLS:C0013832(ELECTROLYTES)
PA10069	emtricitabine	emtricitabine	Coviracil,Emtriva,Racivir	"Sustiva (emtricitabine + tenofovir + efavarenz)","Truvada (emtricitabine + tenofovir disproxil)",	Drug/Small Molecule	DailyMed:d6599395-3944-44f9-97f2-e0424c6b6a1f,TTD:DAP001084,bindingDb:50046283,chebi:31536,chemSpider:54859,clinicalTrials:NCT01108926,drugBank:DB00879,keggCompound:C12599,keggDrug:D01199,ndc:61958-0602-1,pubChemCompound:60877,pubChemSubstance:207107,pubChemSubstance:46507606,url:http://en.wikipedia.org/wiki/Emtricitabine		No	ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors),NDFRT:N0000148813(EMTRICITABINE),RxNorm:276237(emtricitabine),UMLS:C0909839(emtricitabine)
PA10072	epoetin alfa	Epoetin,Erythropoietin precursor	Epogen,Epogin,Epomax,Eprex,NeoRecormon,Procrit,Recormon		Drug/Small Molecule	DailyMed:1f2d0b28-9cc5-4523-80b8-637fdaf3f7a5,TTD:DAP000202,dpd:2243403,drugBank:DB00016,genBank:X02158,ndc:55513-126-10,uniProtKb:P01588,url:http://en.wikipedia.org/wiki/Epoetin_alfa		No	ATC:B03XA(Other antianemic preparations),NDFRT:N0000006443(Epoetin Alfa [Chemical/Ingredient]),RxNorm:105694(Epoetin Alfa),UMLS:C0357126(Epoetin Alfa)
PA10074	escitalopram	Cipralex,Escitalopram Oxalate,escitalopram	Lexapro		Drug/Small Molecule	DailyMed:13bb8267-1cab-43e5-acae-55a4d957630a,TTD:DAP000741,chebi:36791,chemSpider:129277,clinicalTrials:NCT01404871,dpd:2263238,drugBank:DB01175,ndc:0456-2005-01,pubChemCompound:146570,pubChemSubstance:46507040,pubChemSubstance:724297,url:http://en.wikipedia.org/wiki/Escitalopram	CN(C)CCC[C@@]1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F	Yes	ATC:N06AB(Selective serotonin reuptake inhibitors),NDFRT:N0000022289(ESCITALOPRAM),RxNorm:321988(Escitalopram),UMLS:C1099456(Escitalopram)
PA10075	esomeprazole	(-)-omeprazole,(s)-omeprazole,Esomeprazole Sodium,Esomperazole,esomeprazole	Axagon,Esopral,Lucen,Nexiam,Nexium,Nexium IV		Drug/Small Molecule	DailyMed:c325bbfc-46f3-471e-7bbc-ed0d6965d13b,TTD:DCL000524,chebi:50275,dpd:2244521,drugBank:DB00736,keggDrug:D01984,ndc:0186-6020-01,pubChemCompound:4594,pubChemSubstance:3865629,url:http://en.wikipedia.org/wiki/Esomeprazole	Cc1cnc(c(c1OC)C)C[S@](=O)c2[nH]c3ccc(cc3n2)OC	Yes	ATC:A02BC(Proton pump inhibitors),NDFRT:N0000148700(ESOMEPRAZOLE),RxNorm:283742(Esomeprazole),UMLS:C0937846(Esomeprazole)
PA10079	fenoterol	Fenoterolum [inn-latin],Phenoterol	Berotec	"Duovent UDV (Fenoterol Hydrobromide + Ipratropium Bromide)",	Drug/Small Molecule	TTD:DAP000946,bindingDb:50131281,chebi:149226,chemSpider:3226,dpd:541389,drugBank:DB01288,iupharLigand:557,pubChemCompound:3343,pubChemSubstance:10445391,pubChemSubstance:46509099,url:http://en.wikipedia.org/wiki/Fenoterol	CC(Cc1ccc(cc1)O)NCC(c2cc(cc(c2)O)O)O	No	ATC:G02CA(Sympathomimetics, labour repressants),ATC:R03AC(Selective beta-2-adrenoreceptor agonists),ATC:R03CC(Selective beta-2-adrenoreceptor agonists),NDFRT:N0000171778(FENOTEROL),RxNorm:4333(Fenoterol),UMLS:C0015840(Fenoterol)
PA10084	fosamprenavir		Lexiva,Telzir		Drug/Small Molecule	DailyMed:4f5d4370-4833-412b-8699-1c66a8abeb08,TTD:DAP000707,chemSpider:116245,clinicalTrials:NCT00207948,dpd:2261545,drugBank:DB01319,ndc:0173-0721-00,pubChemCompound:131536,pubChemSubstance:10242897,pubChemSubstance:46504901,url:http://en.wikipedia.org/wiki/Fosamprenavir		No	ATC:J05AE(Protease inhibitors),MeSH:C426859(fosamprenavir),NDFRT:N0000148827(FOSAMPRENAVIR),RxNorm:358262(fosamprenavir),UMLS:C1176315(fosamprenavir)
PA10088	gemifloxacin	Gemifloxacin mesilate,gemifloxacin mesylate	Factive		Drug/Small Molecule	DailyMed:a51dc88f-c298-402e-b204-618609a4721c,TTD:DAP000851,chebi:101853,drugBank:DB01155,keggDrug:D02471,ndc:67707-320-05,pubChemCompound:5464436,pubChemSubstance:610685,url:http://en.wikipedia.org/wiki/Gemifloxacin		No	ATC:J01MA(Fluoroquinolones),NDFRT:N0000148804(GEMIFLOXACIN),RxNorm:138099(gemifloxacin),UMLS:C0533545(gemifloxacin)
PA10090	l-glutamine	(s)-2,5-diamino-5-oxopentanoic acid,2-Aminoglutaramic acid,AES-14,Glutamine,L-glutamine,l-(+)-glutamine,l-2-aminoglutaramic acid,l-glutamic acid gamma-amide	Cebrogen,Earthlink Science Glutamine Chews Chocolate,Glavamin,Glutamine Express,Glutamine Fuel Mega,Glutamine Fuel Powder,L-Glutamine Power,Saforis,Stimulina		Drug/Small Molecule	HET:GLN,chebi:18050,chebi:28300,chemSpider:5746,drugBank:DB00130,iupharLigand:723,keggCompound:C00064,keggDrug:D00015,pdb:GLN,pubChemCompound:5961,pubChemSubstance:46505866,pubChemSubstance:8143908,url:http://en.wikipedia.org/wiki/L-Glutamine		No	ATC:B05XB(Amino acids),MeSH:C097188(polyglutamine),NDFRT:N0000177918(L-GLUTAMINE),UMLS:C0017797(L-GLUTAMINE)
PA10116	iobenguane (131i)				Drug/Small Molecule			No	ATC:V09IX(Other diagnostic radiopharmaceuticals for tumour detection)
PA10136	melarsoprol				Drug/Small Molecule			No	ATC:P01CD(Arsenic compounds),NDFRT:N0000166777(Melarsoprol [Chemical/Ingredient]),UMLS:C0025217(Melarsoprol [Chemical/Ingredient])
PA10140	miglustat		Miglustat, Hydrochloride,Zavesca		Drug/Small Molecule	TTD:DAP000609,bindingDb:18355,chebi:50381,chemSpider:46764,dpd:2250519,drugBank:DB00419,pubChemCompound:51634,pubChemSubstance:189803,pubChemSubstance:46506350,url:http://en.wikipedia.org/wiki/Miglustat		No	ATC:A16AX(Various alimentary tract and metabolism products),MeSH:C059896(miglustat),NDFRT:N0000148822(MIGLUSTAT),RxNorm:402316(Miglustat),UMLS:C1321596(Miglustat)
PA10158	pipotiazine	Pipothiazine,Pipotiazina [inn-spanish],Pipotiazinum [inn-latin]	Piportil Depot,Piportil L4		Drug/Small Molecule	chemSpider:56598,dpd:1926667,drugBank:DB01621,keggDrug:D08385,pubChemCompound:62867,pubChemSubstance:14883233,pubChemSubstance:46508263	CN(C)S(=O)(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CCC(CC4)CCO	No	ATC:N05AC(Phenothiazines with piperidine structure),MeSH:C084783(pipothiazine)
PA10159	pirenzepine		Bisvanil,Gasteril,Gastrozepin,Leblon,Pirenzepin,Pirenzepina [INN-Spanish],Pirenzepine Gastrozepin,Pirenzepinum [INN-Latin],Tabe,Ulcosan		Drug/Small Molecule	TTD:DAP000492,chebi:8247,chemSpider:4682,dpd:608998,drugBank:DB00670,iupharLigand:328,keggCompound:C07508,pubChemCompound:4848,pubChemSubstance:46509029,pubChemSubstance:9711,url:http://en.wikipedia.org/wiki/Pirenzepine		No	ATC:A02BX(Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),NDFRT:N0000171787(PIRENZEPINE),RxNorm:8352(Pirenzepine),UMLS:C0031978(Pirenzepine)
PA10162	podophyllum		Podocon-25,Podofin		Drug/Small Molecule			No	
PA10176	rasburicase	Urate oxidase,Uricase,rasburicase	Elitek,Fasturtec		Drug/Small Molecule	DailyMed:0ae10bc4-6b65-402f-9db5-2d7753054922,dpd:2248416,drugBank:DB00049,genBank:X61766,ndc:0024-5150-10,uniProtKb:Q00511,url:http://en.wikipedia.org/wiki/Rasburicase		No	ATC:M04AX(Other antigout preparations),ATC:V03AF(Detoxifying agents for antineoplastic treatment),NDFRT:N0000148794(RASBURICASE),RxNorm:283821(Rasburicase),UMLS:C0937932(Rasburicase)
PA10196	technetium (99mtc) mertiatide				Drug/Small Molecule			No	ATC:V09CA(Technetium (99mTc) compounds)
PA10202	telithromycin	telithromycin	Ketek		Drug/Small Molecule	DailyMed:4471223e-9023-457e-be2e-8e4e0c2d94d1,HET:TEL,TTD:DAP000109,dpd:2247520,drugBank:DB00976,keggCompound:C12009,keggDrug:D01078,ndc:0088-2225-41,pdb:TEL,pubChemCompound:5462516,pubChemSubstance:14168,url:http://en.wikipedia.org/wiki/Telithromycin		No	ATC:J01FA(Macrolides),NDFRT:N0000148854(TELITHROMYCIN),RxNorm:274786(telithromycin),UMLS:C0907410(telithromycin)
PA10204	tenofovir	D,L-Tenofovir,PMPA,TDF,Tenofovir disoproxil,Tenofovir disoproxil fumarate	Apropovir,Viread	"Atripla (tenofovir + emtricitabine + efavirenz)","Truvada (tenofovir + emtricitabine)",	Drug/Small Molecule	DailyMed:e122435e-cd0b-4c90-940a-b7a0d090d866,HET:TFO,TTD:DAP001430,chemSpider:408154,clinicalTrials:NCT01108926,clinicalTrials:NCT01138241,dpd:2247128,drugBank:DB00300,keggDrug:D01982,ndc:53808-0810-1,pdb:TFO,pubChemCompound:464205,pubChemSubstance:46508131,pubChemSubstance:699321,url:http://en.wikipedia.org/wiki/Tenofovir		No	ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors),MeSH:C096918(tenofovir),NDFRT:N0000148716(TENOFOVIR),RxNorm:117466(Tenofovir),UMLS:C0384228(Tenofovir)
PA10209	thioacetazone and isoniazid				Drug/Small Molecule			No	ATC:J04AM(Combinations of drugs for treatment of tuberculosis)
PA10211	thyrotropin				Drug Class			No	ATC:H01AB(Thyrotropin),NDFRT:N0000175949(Thyroid Stimulating Hormone [EPC]),RxNorm:10579(Thyrotropin),UMLS:C0040160(Thyrotropin)
PA10226	valdecoxib	valdecoxib	Bextra		Drug/Small Molecule	DailyMed:caf64301-262c-45ca-acd1-a9d6696c584e,bindingDb:13063,chemSpider:106796,dpd:2246622,drugBank:DB00580,ndc:0025-1975-31,pdb:COX,pubChemCompound:119607,pubChemSubstance:46506229,pubChemSubstance:696308,url:http://en.wikipedia.org/wiki/Valdecoxib	Cc1c(c(no1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N	No	ATC:M01AH(Coxibs),MeSH:C406224(valdecoxib),NDFRT:N0000148721(VALDECOXIB),RxNorm:278567(valdecoxib),UMLS:C0913246(valdecoxib)
PA10227	valganciclovir	Cymeval,L-valine, ester with ganciclovir,valganciclovir	Valcyt,Valcyte		Drug/Small Molecule	DailyMed:dc548ff9-e8ea-4d6e-b9b4-e31f53ac4078,TTD:DAP000646,chemSpider:57721,dpd:2245777,drugBank:DB01610,ndc:0004-0038-22,pubChemCompound:64147,pubChemSubstance:11068227,pubChemSubstance:46505524,url:http://en.wikipedia.org/wiki/Valganciclovir	CC(C)[C@@H](C(=O)OCC(CO)OCn1cnc2c1nc([nH]c2=O)N)N	No	MeSH:C121677(valganciclovir),NDFRT:N0000148704(VALGANCICLOVIR),RxNorm:275891(valganciclovir),UMLS:C0909381(valganciclovir)
PA10229	vardenafil	VDN	Levitra		Drug/Small Molecule	DailyMed:80971965-5c77-4950-b65d-7996b802d2cd,TTD:DAP000414,bindingDb:14776,chemSpider:99300,dpd:2250462,drugBank:DB00862,ndc:0085-1923-01,pubChemCompound:110634,pubChemSubstance:46506777,pubChemSubstance:687902,url:http://en.wikipedia.org/wiki/Vardenafil		No	ATC:G04BE(Drugs used in erectile dysfunction),MeSH:C426063(vardenafil),NDFRT:N0000148820(VARDENAFIL),RxNorm:306674(vardenafil),UMLS:C0971579(vardenafil)
PA10231	vigabatrin		4-Amino-5-hexenoic acid,4-Aminohexenoic acid,GVG,Sabril,Vigabatrin [USAN:BAN:INN],Vigabatrina [Spanish],Vigabatrine,Vigabatrine [French],Vigabatrinum [Latin],gamma-Vinyl GABA		Drug/Small Molecule	DailyMed:a88ac1b4-e2c9-45c0-b321-4785902172e3,TTD:DAP000557,bindingDb:50118886,chemSpider:5463,dpd:2068036,drugBank:DB01080,keggCompound:C07500,keggDrug:D00535,ndc:67386-211-65,pubChemCompound:5665,pubChemSubstance:183802,pubChemSubstance:46507052,url:http://en.wikipedia.org/wiki/Vigabatrin	C=CC(CCC(=O)O)N	No	ATC:N03AG(Fatty acid derivatives),NDFRT:N0000171807(VIGABATRIN),RxNorm:14851(Vigabatrin),UMLS:C0048044(Vigabatrin)
PA10232	vindesine	Desacetylvinblastine Amide Sulfate,Vindesine Sulfate	DAVA,Eldesine,Eldisine		Drug/Small Molecule	TTD:DAP000949,chebi:36373,chemSpider:37302,dpd:555665,drugBank:DB00309,keggDrug:D01769,pubChemCompound:40839,pubChemSubstance:181645,pubChemSubstance:46504548,url:http://en.wikipedia.org/wiki/Vindesine		No	ATC:L01CA(Vinca alkaloids and analogues),NDFRT:N0000171809(VINDESINE),RxNorm:11204(Vindesine),UMLS:C0042682(Vindesine)
PA10233	voriconazole	VCZ,voriconazole	Vfend		Drug/Small Molecule	DailyMed:ce3ef5cf-3087-4d92-9d94-9eb8287228db,TTD:DAP001271,chebi:10023,chemSpider:64684,clinicalTrials:NCT00371605,clinicalTrials:NCT00673348,clinicalTrials:NCT01104376,clinicalTrials:NCT01321372,dpd:2256460,drugBank:DB00582,keggCompound:C07622,keggDrug:D00578,ndc:0049-3190-28,pubChemCompound:71616,pubChemSubstance:213886,pubChemSubstance:46506421,url:http://en.wikipedia.org/wiki/Voriconazole	C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O	Yes	ATC:J02AC(Triazole derivatives),MeSH:C102790(voriconazole),NDFRT:N0000148767(VORICONAZOLE),RxNorm:121243(voriconazole),UMLS:C0393080(voriconazole)
PA10235	zoledronate	ZOL,Zoledronic acid	Aclasta,Reclast,Zometa,Zometa Concentrate		Drug/Small Molecule	DailyMed:f0cdfa57-95e5-416b-bc2f-cde2491c2fd0,HET:ZOL,TTD:DAP001539,bindingDb:12578,chemSpider:61986,clinicalTrials:NCT01194440,dpd:2242725,drugBank:DB00399,keggDrug:D01968,ndc:0078-0387-25,pdb:ZOL,pubChemCompound:68740,pubChemSubstance:46507310,pubChemSubstance:536160,url:http://en.wikipedia.org/wiki/Zoledronate		No	ATC:M05BA(Bisphosphonates),MeSH:C088658(zoledronic acid)
PA10236	zopiclone	(+-)-zopiclone,Zopiclona [INN-Spanish],Zopiclone [Ban:Inn:Jan],Zopiclonum [INN-Latin]	Amoban,Amovane,Imovance,Imovane,Novo-zopiclone,Nu-Zopiclone,Ran-zopiclone,Rhovane,Sopivan,Ximovan,Zimovane		Drug/Small Molecule	TTD:DAP000427,bindingDb:50054136,chebi:32315,chemSpider:5533,dpd:2257580,drugBank:DB01198,keggDrug:D01372,pubChemCompound:5735,pubChemSubstance:46505233,url:http://en.wikipedia.org/wiki/Zopiclone	CN1CCN(CC1)C(=O)OC2c3c(nccn3)C(=O)N2c4ccc(cn4)Cl	No	ATC:N05CF(Benzodiazepine related drugs),MeSH:C515050(zopiclone),RxNorm:40001(zopiclone),UMLS:C0078847(zopiclone)
PA10238	pancreozymin (cholecystokinin)				Drug/Small Molecule			No	ATC:V04CK(Tests for pancreatic function)
PA10239	clodronate	clodronate	Acide Clodronique [INN-French],Acido Clodronico [INN-Spanish],Acidum Clodronicum [INN-Latin],Bonefos,Clasteon,Dichloromethanediphosphonic acid,Dichloromethylidene diphosphonate,Loron,Ostac		Drug/Small Molecule	TTD:DAP000564,bindingDb:50216172,chebi:110423,chemSpider:23731,dpd:1984837,drugBank:DB00720,pubChemCompound:25419,pubChemSubstance:168153,pubChemSubstance:46508646,url:http://en.wikipedia.org/wiki/Clodronate		No	ATC:M05BA(Bisphosphonates)
PA10240	haemophilus b conjugate vaccine (prp-d-diphtheria toxoid conjugate)		Prohibit		Drug/Small Molecule			No	
PA10242	nitrazepam	1, 3-Dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one,1,3-Dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one,2,3-Dihydro-7-nitro-5-phenyl-1H-1,4-benzodiazepin-2-on,7-Nitro-1,3-dihydro-5-phenyl-2H-1,4-benzodiazepin-2-one,7-Nitro-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one,7-Nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one,N-desmethylnimetazepam,NTZ,Nitrazepamum [inn-latin]	Alodorm,Apo-nitrazepam tablets BP,Apodorm,Atempol,Benzalin,Calsamin,Calsmin,Cerson,Dormicum,Dormin-5,Dormo-puren,Dumolid,Eatan,Eatan n,Epibenzalin,Epinelbon,Eunoctin,Eunoktin,Gerson,Hipnax,Hipsal,Ibrovek,Imeson,Imesont,Insomin,Ipersed,LA 1,Magadon,Megadon,Mitidin,Mogadan,Mogadon,Mogadone,Nelbon,Nelmat,Neozepam,Neuchlonic,Nitrados,Nitravet,Nitrazadon,Nitrazepam-10,Nitrazepam-5,Nitrempax,Nitrenpax,Noctesed,Pacisyn,Paxisyn,Pelson,Persopit,Radedorm,Relact,Remnos,Sandoz nitrazepam,Somitran,Somnased,Somnibel,Somnite,Sonebon,Sonebon tofraniln a,Sonnolin,Surem,Trazenin,Unisomnia		Drug/Small Molecule	TTD:DAP000691,bindingDb:50020856,chemSpider:4350,dpd:511528,drugBank:DB01595,keggCompound:C07487,keggDrug:D00531,pubChemCompound:4506,pubChemSubstance:10470563,pubChemSubstance:46505806,url:http://en.wikipedia.org/wiki/Nitrazepam	c1ccc(cc1)C2=NCC(=O)Nc3c2cc(cc3)N(=O)=O	No	ATC:N05CD(Benzodiazepine derivatives),NDFRT:N0000166923(Nitrazepam [Chemical/Ingredient]),RxNorm:7440(Nitrazepam),UMLS:C0028126(Nitrazepam)
